Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-12-19,436.44249480171817,437.9842031344139,431.2046434354816,431.90631103515625,22963700,0.0,0.0,MSFT
2024-12-20,428.03227991601136,438.5376604876813,423.6048219518138,431.48138427734375,64263700,0.0,0.0,MSFT
2024-12-23,431.61970806424813,432.51904296318025,427.7555447705133,430.1471862792969,19152500,0.0,0.0,MSFT
2024-12-24,429.5541964268554,434.4461751355928,429.09959787026054,434.1793212890625,7164500,0.0,0.0,MSFT
2024-12-26,433.9322924323696,435.7705018127553,431.5110338839644,432.9736633300781,8194200,0.0,0.0,MSFT
2024-12-27,429.5048044431988,430.1175308072659,421.35152651661633,425.4825134277344,18117700,0.0,0.0,MSFT
2024-12-30,421.0649558192297,422.5374777077036,416.9537232035626,419.849365234375,13158700,0.0,0.0,MSFT
2024-12-31,421.1044562623139,421.727075036825,415.72823181420273,416.5583801269531,13246500,0.0,0.0,MSFT
2025-01-02,420.54116958363784,421.0748471756245,409.98638702094667,413.6726379394531,16896500,0.0,0.0,MSFT
2025-01-03,416.1433429164244,419.05876986765884,414.62141923267626,418.3867492675781,16662900,0.0,0.0,MSFT
2025-01-06,422.98218924692804,429.2281017096726,420.4917442238413,422.8339538574219,20573600,0.0,0.0,MSFT
2025-01-07,423.9704579117962,425.6011074871905,415.8665816173968,417.4181823730469,18139100,0.0,0.0,MSFT
2025-01-08,418.4954097350683,421.9642686702226,416.5979364179098,419.58251953125,15054600,0.0,0.0,MSFT
2025-01-10,419.651700779007,419.73074959963856,410.15435142162687,414.0382995605469,20201100,0.0,0.0,MSFT
2025-01-13,410.3717995418403,413.593589604229,407.45640284839305,412.2989501953125,17604800,0.0,0.0,MSFT
2025-01-14,412.9116481684101,414.8190138642203,405.90477401390683,410.7967529296875,16935900,0.0,0.0,MSFT
2025-01-15,414.2161960548363,423.13043625280113,413.3662628653434,421.31201171875,19637800,0.0,0.0,MSFT
2025-01-16,423.67398737859014,424.45470380326,419.4145196873236,419.6022644042969,15300000,0.0,0.0,MSFT
2025-01-17,429.0007970548674,429.386239236107,423.1502190446997,424.0001220703125,26197500,0.0,0.0,MSFT
2025-01-21,425.1563998310193,425.8481750206776,420.61032363697626,423.476318359375,26085700,0.0,0.0,MSFT
2025-01-22,432.4301807733852,442.02633532054574,430.88847213906604,440.9689025878906,27803800,0.0,0.0,MSFT
2025-01-23,436.81806704057095,441.5123788470024,436.3239289556834,441.47283935546875,18389300,0.0,0.0,MSFT
2025-01-24,439.94102216929423,441.4135440071518,436.225094129831,438.8539123535156,15549500,0.0,0.0,MSFT
2025-01-27,419.0389699284215,430.0977821935737,418.53493945291683,429.46527099609375,35647800,0.0,0.0,MSFT
2025-01-28,429.50483681704293,443.1232814648123,426.3225862891417,441.9571228027344,23491700,0.0,0.0,MSFT
2025-01-29,441.4530338081576,441.64080867155576,435.23676897201045,437.1441345214844,23581400,0.0,0.0,MSFT
2025-01-30,413.86040812362955,417.90245411076046,408.3161931892364,410.1247253417969,54586300,0.0,0.0,MSFT
2025-01-31,414.0679953915426,415.7579393396418,410.04570380297525,410.1939392089844,34161900,0.0,0.0,MSFT
2025-02-03,406.7744374831542,410.5397669066902,403.868903417148,406.1024169921875,25679100,0.0,0.0,MSFT
2025-02-04,407.8516865143663,409.0672770356713,404.9362598096777,407.5354309082031,20532100,0.0,0.0,MSFT
2025-02-05,407.515689607161,408.97831905399164,405.5885389886856,408.4446716308594,16316700,0.0,0.0,MSFT
2025-02-06,409.1463070589971,413.29707875974475,409.1463070589971,410.9449768066406,16309800,0.0,0.0,MSFT
2025-02-07,411.59727657785896,413.7418190108213,403.31551731813784,404.9461669921875,22886800,0.0,0.0,MSFT
2025-02-10,408.85972888435845,410.5892121947109,406.10246006462063,407.38720703125,20817900,0.0,0.0,MSFT
2025-02-11,404.8374480391833,407.6540108795472,404.50140761463905,406.6163330078125,18140600,0.0,0.0,MSFT
2025-02-12,402.435914112503,405.93442005448907,399.6292135248499,404.2444763183594,19121700,0.0,0.0,MSFT
2025-02-13,402.2283921851393,406.1814967766394,401.5958809737979,405.7268981933594,23891700,0.0,0.0,MSFT
2025-02-14,403.0091510093491,404.1160155029715,401.1215398904841,403.6416320800781,22758500,0.0,0.0,MSFT
2025-02-18,403.2167063843153,405.7862306432336,401.7342920226082,404.8374938964844,21423100,0.0,0.0,MSFT
2025-02-19,403.09811062253897,410.6188782021152,402.8707962337448,409.9073181152344,24114200,0.0,0.0,MSFT
2025-02-20,411.24420628859417,415.22503211440386,408.52099709977665,412.0760192871094,23508700,0.83,0.0,MSFT
2025-02-21,413.27418223243296,413.97725680128366,403.91626425407014,404.2331237792969,27524800,0.0,0.0,MSFT
2025-02-24,404.5302202614153,405.38182745676596,395.429748735741,400.06414794921875,26443700,0.0,0.0,MSFT
2025-02-25,397.1923965138258,398.00441513588805,392.8352683816966,394.0235595703125,29387400,0.0,0.0,MSFT
2025-02-26,394.13250979931917,399.66804717869115,390.40913086553707,395.83575439453125,19619000,0.0,0.0,MSFT
2025-02-27,397.3607146060961,401.78716793671936,388.3493932994261,388.70587158203125,21127400,0.0,0.0,MSFT
2025-02-28,388.83460333794534,393.7561854578909,382.80393739721217,393.1224060058594,32845700,0.0,0.0,MSFT
2025-03-03,394.93461038215554,394.93461038215554,382.39794340981075,384.7052307128906,23007700,0.0,0.0,MSFT
2025-03-04,379.66483152587324,388.755390806373,377.2882188683939,384.8240661621094,29342900,0.0,0.0,MSFT
2025-03-05,385.54695570418704,397.7568509049982,385.02212029604283,397.1131591796875,23433100,0.0,0.0,MSFT
2025-03-06,390.43881857931865,398.2321421191711,388.8544001591339,393.0234069824219,23304600,0.0,0.0,MSFT
2025-03-07,388.49795642753014,390.95377648794664,381.7840095954452,389.4783020019531,22034100,0.0,0.0,MSFT
2025-03-10,382.08104715568106,382.6355890788174,373.5450301742595,376.4563903808594,32840100,0.0,0.0,MSFT
2025-03-11,375.30773581476114,382.23954096173566,373.23810047588285,376.7436218261719,30380200,0.0,0.0,MSFT
2025-03-12,379.2192427611773,381.46711712441265,375.25821149680263,379.5361022949219,24253600,0.0,0.0,MSFT
